NAME,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Luka Doncic,PG,22,36.8,33.4,11.5,22.6,51,2.8,8.1,34.3,7.5,10.5,71.7,8.5,8.5,1.8,0.7,3.6,11,5,32.65
Giannis Antetokounmpo,PF,19,32.9,31.9,11.7,21.6,54.4,0.8,3.3,23.8,7.6,12.3,62,11.3,5.5,0.8,1.1,3.7,13,1,30.35
Shai Gilgeous-Alexander,PG,22,35.7,31.3,10.7,21.1,50.6,1,3,32.8,9,9.6,92.9,4.8,6,1.8,1.1,3.3,1,0,28.66
Jayson Tatum,SF,24,37,30.8,10.1,21,48,3.4,9.4,36.4,7.2,8.3,86.9,8.3,4.2,1,1,2.8,12,0,26.37
Stephen Curry,PG,23,34.8,30,10.1,20.3,49.9,5.1,11.8,43.2,4.6,5.1,90.6,6.6,7,1,0.3,3.1,7,1,26.91
Kevin Durant,PF,25,36.9,29.9,10.6,19.2,55.3,1.6,4.6,33.9,7.1,7.8,91.8,6.6,5.4,0.7,1.8,3.4,2,1,26.6
Anthony Davis,PF,20,34.6,28.6,10.9,18.4,59,0.5,1.4,33.3,6.5,7.8,83.2,12.8,2.6,1.4,2.4,2,15,0,31.99
Ja Morant,PG,20,33.3,28.5,9.9,21.4,46.4,1.9,5,37,6.8,9.2,74.3,6.3,7.5,1.1,0.3,3.8,6,1,25.1
Donovan Mitchell,SG,22,36.5,28.4,9.8,20.1,48.8,3.9,9.2,42.1,4.9,5.5,88.5,3.9,4.9,1.4,0.5,3.1,2,0,23.72
Devin Booker,SG,24,35.8,28.4,10.2,20.8,48.8,2.4,6.1,39,5.7,6.5,87.2,4.9,5.9,1,0.4,2.5,3,0,24.21
Trae Young,PG,22,35.5,27.6,8.8,21.6,40.8,2.2,7.4,29.6,7.8,8.6,90,2.9,9.6,0.7,0.1,3.5,12,0,22.63
Jaylen Brown,SG,23,35.9,26.7,9.9,19.7,50.4,2.4,6.8,35,4.5,5.4,83.2,7.1,3.7,1,0.4,3.1,4,0,21.21
LeBron James,SF,16,35.4,26.1,10.2,21.9,46.6,2.4,7.4,33.1,3.3,4.6,71.6,8.6,6.6,1.2,0.6,3.4,6,0,21.26
DeMar DeRozan,SF,23,34.8,25.5,9,18,50.2,0.4,1.4,31.3,7,7.9,88.4,4.4,4.7,0.9,0.4,2,0,0,21.79
Anfernee Simons,SG,22,37.1,24.7,8.5,19.2,44.3,4.2,10.6,39.7,3.5,3.9,89.4,3,4.5,1,0.3,2.2,0,0,18.43
Zion Williamson,PF,18,32,23.6,9.1,15.3,59.1,0.2,0.6,27.3,5.3,7.3,72.7,7.1,4.3,1.3,0.6,2.7,4,0,25.44
